========================================================================
BrowseComp+ Offline Retrieval Evaluation — flat
Generated: 2026-07-09 18:20
Questions: 830   Max-K: 50
========================================================================

AGGREGATE METRICS
----------------------------------------
  Avg latency  : 0.16s
  Gold MRR     : 0.2384
  Evid MRR     : 0.3633

  K         GoldR@K    EvidR@K   GoldNDCG@K
  ------  ---------  ---------  -----------
  1          0.0722     0.0540       0.1542
  3          0.1426     0.1146       0.1559
  5          0.1867     0.1475       0.1677
  10         0.2578     0.2054       0.1936
  20         0.3367     0.2801       0.2207
  50         0.4498     0.3862       0.2504

========================================================================
PER-QUESTION RESULTS
========================================================================
  Q100  GoldR@10=0.400  EvidR@10=0.400  NDCG@10=0.460  MRR=1.000  lat=0.2s  #gold=5  #evid=5
  Q101  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=5
  Q102  GoldR@10=0.286  EvidR@10=0.250  NDCG@10=0.448  MRR=1.000  lat=0.2s  #gold=7  #evid=8
  Q103  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=6
  Q104  GoldR@10=0.000  EvidR@10=0.250  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=4
  Q105  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=6  #evid=7
  Q106  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=3  #evid=4
  Q107  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=8
  Q108  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=7
  Q109  GoldR@10=0.500  EvidR@10=0.400  NDCG@10=0.334  MRR=0.333  lat=0.2s  #gold=4  #evid=5
  Q110  GoldR@10=1.000  EvidR@10=0.143  NDCG@10=0.356  MRR=0.167  lat=0.1s  #gold=1  #evid=7
  Q111  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=6  #evid=10
  Q112  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=6  #evid=8
  Q113  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=4  #evid=6
  Q114  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=3  #evid=8
  Q115  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=7
  Q116  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.077  lat=0.2s  #gold=4  #evid=9
  Q117  GoldR@10=0.400  EvidR@10=0.400  NDCG@10=0.485  MRR=1.000  lat=0.2s  #gold=5  #evid=5
  Q118  GoldR@10=1.000  EvidR@10=0.333  NDCG@10=1.000  MRR=1.000  lat=0.2s  #gold=1  #evid=3
  Q119  GoldR@10=0.333  EvidR@10=0.333  NDCG@10=0.296  MRR=0.500  lat=0.2s  #gold=3  #evid=3
  Q120  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=5
  Q121  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=3  #evid=3
  Q122  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.023  lat=0.2s  #gold=3  #evid=9
  Q123  GoldR@10=0.200  EvidR@10=0.200  NDCG@10=0.170  MRR=0.333  lat=0.2s  #gold=5  #evid=5
  Q124  GoldR@10=0.000  EvidR@10=0.667  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=9
  Q125  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=4  #evid=8
  Q126  GoldR@10=1.000  EvidR@10=1.000  NDCG@10=0.412  MRR=0.167  lat=0.2s  #gold=2  #evid=4
  Q127  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=4  #evid=7
  Q128  GoldR@10=0.333  EvidR@10=0.200  NDCG@10=0.454  MRR=1.000  lat=0.2s  #gold=6  #evid=10
  Q129  GoldR@10=0.667  EvidR@10=0.250  NDCG@10=0.765  MRR=1.000  lat=0.2s  #gold=3  #evid=8
  Q130  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=8  #evid=9
  Q131  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.071  lat=0.2s  #gold=1  #evid=3
  Q132  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=4  #evid=6
  Q133  GoldR@10=1.000  EvidR@10=0.286  NDCG@10=0.631  MRR=0.500  lat=0.2s  #gold=1  #evid=7
  Q134  GoldR@10=1.000  EvidR@10=0.750  NDCG@10=0.836  MRR=1.000  lat=0.2s  #gold=6  #evid=8
  Q135  GoldR@10=1.000  EvidR@10=0.571  NDCG@10=1.000  MRR=1.000  lat=0.2s  #gold=3  #evid=7
  Q136  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.026  lat=0.2s  #gold=2  #evid=5
  Q137  GoldR@10=0.500  EvidR@10=0.750  NDCG@10=0.193  MRR=0.125  lat=0.1s  #gold=2  #evid=4
  Q138  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=8
  Q139  GoldR@10=0.500  EvidR@10=0.375  NDCG@10=0.438  MRR=0.500  lat=0.2s  #gold=6  #evid=8
  Q140  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.022  lat=0.1s  #gold=1  #evid=3
  Q141  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=2
  Q142  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=5
  Q143  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=5
  Q144  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.026  lat=0.2s  #gold=7  #evid=8
  Q145  GoldR@10=0.000  EvidR@10=0.333  NDCG@10=0.000  MRR=0.083  lat=0.2s  #gold=1  #evid=3
  Q146  GoldR@10=0.667  EvidR@10=0.667  NDCG@10=0.765  MRR=1.000  lat=0.2s  #gold=3  #evid=3
  Q147  GoldR@10=1.000  EvidR@10=0.250  NDCG@10=1.000  MRR=1.000  lat=0.1s  #gold=1  #evid=4
  Q148  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=4  #evid=4
  Q149  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.050  lat=0.2s  #gold=2  #evid=5
  Q150  GoldR@10=1.000  EvidR@10=0.700  NDCG@10=1.000  MRR=1.000  lat=0.2s  #gold=1  #evid=10
  Q151  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=4
  Q152  GoldR@10=1.000  EvidR@10=0.750  NDCG@10=0.456  MRR=0.200  lat=0.2s  #gold=2  #evid=4
  Q153  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=3
  Q154  GoldR@10=0.000  EvidR@10=0.111  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=7  #evid=9
  Q155  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.059  lat=0.2s  #gold=4  #evid=8
  Q156  GoldR@10=0.667  EvidR@10=0.429  NDCG@10=0.376  MRR=0.333  lat=0.2s  #gold=3  #evid=7
  Q157  GoldR@10=0.286  EvidR@10=0.333  NDCG@10=0.448  MRR=1.000  lat=0.1s  #gold=7  #evid=9
  Q158  GoldR@10=0.750  EvidR@10=0.500  NDCG@10=0.626  MRR=1.000  lat=0.2s  #gold=4  #evid=6
  Q159  GoldR@10=0.000  EvidR@10=0.286  NDCG@10=0.000  MRR=0.030  lat=0.2s  #gold=3  #evid=7
  Q160  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.059  lat=0.1s  #gold=1  #evid=2
  Q161  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=5
  Q162  GoldR@10=0.000  EvidR@10=0.667  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=3
  Q163  GoldR@10=0.333  EvidR@10=0.200  NDCG@10=0.469  MRR=1.000  lat=0.1s  #gold=3  #evid=5
  Q164  GoldR@10=0.000  EvidR@10=0.125  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=8
  Q165  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=3  #evid=5
  Q166  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=3
  Q167  GoldR@10=1.000  EvidR@10=0.556  NDCG@10=0.356  MRR=0.167  lat=0.2s  #gold=1  #evid=9
  Q168  GoldR@10=0.333  EvidR@10=0.250  NDCG@10=0.182  MRR=0.200  lat=0.1s  #gold=3  #evid=4
  Q169  GoldR@10=0.500  EvidR@10=0.250  NDCG@10=0.307  MRR=0.333  lat=0.2s  #gold=2  #evid=4
  Q170  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.056  lat=0.2s  #gold=5  #evid=5
  Q171  GoldR@10=0.167  EvidR@10=0.125  NDCG@10=0.191  MRR=0.500  lat=0.2s  #gold=6  #evid=8
  Q172  GoldR@10=0.000  EvidR@10=0.125  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=8
  Q173  GoldR@10=1.000  EvidR@10=0.250  NDCG@10=0.301  MRR=0.111  lat=0.2s  #gold=1  #evid=4
  Q174  GoldR@10=0.500  EvidR@10=0.250  NDCG@10=0.307  MRR=0.333  lat=0.2s  #gold=2  #evid=4
  Q175  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=5  #evid=8
  Q176  GoldR@10=0.500  EvidR@10=0.500  NDCG@10=0.613  MRR=1.000  lat=0.2s  #gold=2  #evid=4
  Q177  GoldR@10=1.000  EvidR@10=0.500  NDCG@10=0.431  MRR=0.250  lat=0.2s  #gold=1  #evid=4
  Q178  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=11
  Q179  GoldR@10=0.000  EvidR@10=0.250  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=4
  Q180  GoldR@10=1.000  EvidR@10=0.400  NDCG@10=0.431  MRR=0.250  lat=0.2s  #gold=1  #evid=5
  Q181  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.025  lat=0.1s  #gold=2  #evid=4
  Q182  GoldR@10=0.000  EvidR@10=0.429  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=7
  Q183  GoldR@10=0.500  EvidR@10=0.333  NDCG@10=0.613  MRR=1.000  lat=0.1s  #gold=2  #evid=3
  Q184  GoldR@10=0.250  EvidR@10=0.250  NDCG@10=0.246  MRR=0.500  lat=0.2s  #gold=4  #evid=4
